Экспорт;экспорт не нефти и газа;Импорт;;;;
22 770;9 755;9 348;;;;
23 926;11 601;9 661;;;;
25 069;11 703;10 418;;;;
27 455;13 326;12 704;;;;
24 243;10 504;10 633;;;;
24 843;11 486;13 018;;;;
24 253;10 969;12 604;;;;
23 213;11 460;15 063;;;;
20 765;8 986;11 782;;;;
24 884;11 845;14 117;;;;
27 592;12 298;15 122;;;;
28 827;12 675;17 397;;;;
29 656;11 307;15 375;;;;
29 742;13 217;17 541;;;;
33 322;14 353;18 756;;;;
36 340;16 463;21 542;;;;
36 035;14 796;19 202;;;;
41 700;18 520;22 233;;;;
47 353;20 194;24 155;;;;
52 773;24 183;28 654;;;;
49 091;19 410;25 300;;;;
58 692;23 481;28 879;;;;
63 971;22 202;32 085;;;;
68 269;26 016;37 574;;;;
66 412;21 323;30 743;;;;
75 558;25 894;38 758;;;;
78 726;28 103;42 061;;;;
76 785;31 401;51 626;;;;
70 176;26 292;42 612;;;;
81 870;31 154;52 689;;;;
87 081;31 634;58 019;;;;
107 404;38 882;69 764;;;;
108 372;34 172;59 774;;;;
126 026;40 977;74 807;;;;
134 472;44 367;83 046;;;;
97 428;36 643;71 045;;;;
57 755;22 910;37 721;;;;
63 567;21 554;41 929;;;;
81 585;28 825;46 843;;;;
94 248;33 157;57 431;;;;
90 062;28 117;44 817;;;;
95 352;33 556;57 283;;;;
95 657;36 593;67 625;;;;
111 602;40 398;75 954;;;;
111 675;34 798;64 693;;;;
133 498;45 462;82 327;;;;
128 314;45 767;83 123;;;;
141 922;47 569;88 412;;;;
131 033;40 843;72 242;;;;
131 185;45 862;81 906;;;;
125 205;43 949;87 024;;;;
140 011;49 973;94 600;;;;
124 833;38 276;76 566;;;;
126 919;43 257;84 476;;;;
130 658;43 518;87 305;;;;
139 425;47 730;92 923;;;;
122 812;38 981;72 438;;;;
132 067;43 199;80 657;;;;
125 653;43 771;80 468;;;;
116 275;46 465;74 313;;;;
90 206;1 684;34 428;;;;
91 457;923;35 610;;;;
78 700;958;31 925;;;;
81 056;981;36 090;;;;
60 469;962;27 180;;;;
67 831;760;30 250;;;;
70 918;576;32 278;;;;
82 491;601;38 009;;;;
82 550;544;32 692;;;;
83 882;818;37 141;;;;
84 559;939;39 457;;;;
102 556;873;50 765;;;;
101 658;1 301;40 107;;;;
108 725;1 337;45 204;;;;
110 467;1 521;43 014;;;;
122 220;1 126;53 153;;;;
