;delta (коэффициент выбытия);полная стоимость фондов на конец года;доля изношенных основных фондов;deflator ;Амортизация основных фондов, начисленная за отчетный год ;;;;;;;;;;;;;
1990;2.4;1927;35.6;;;;;;;;;;;;;;;
1991;2.1;2061;35.4;;;;;;;;;;;;;;;
1992;1.6;43215;42.5;;;;;;;;;;;;;;;
1993;1.9;63861;33.7;;;;;;;;;;;;;;;
1994;2;1221494;41.3;;;;;;;;;;;;;;;
1995;1.9;5306460;39.5;;;;;;;;;;;;;;;
1996;1.7;13250160;37.8;145.8132141;;;;;;;;;;;;;;
1997;1.6;13411951;41;167.8015647;;;;;;;;;;;;;;
1998;1.4;14277540;41.6;199.004601;;;;;;;;;;;;;;
1999;1.2;14334783;41.7;343.2147381;;;;;;;;;;;;;;
2000;1.3;17464172;39.3;472.4037922;;;;;;;;;;;;;;
2001;1.3;21495236;41.1;550.3009069;;;;;;;;;;;;;;
2002;1.3;26333273;44;636.2244844;;;;;;;;;;;;;;
2003;1.2;32173286;43;723.8966094;;;;;;;;;;;;;;
2004;1.1;34873724;43.5;870.7178767;;;;;;;;;;;;;;
2005;1.1;41493568;45.2;1038.819496;1042638;;;;;;;;;;;;;
2006;1;47489498;46.3;1196.408903;1270310;;;;;;;;;;;;;
2007;1;60391454;46.2;1361.56622;1542399;;;;;;;;;;;;;
2008;1;74441095;45.3;1606.09962;1907121;;;;;;;;;;;;;
2009;1;82302969;45.3;1638.120795;2348641;;;;;;;;;;;;;
2010;0.8;93185612;47.1;1870.521624;2668813;;;;;;;;;;;;;
2011;0.8;108001247;47.9;2168.204808;3148249;;;;;;;;;;;;;
2012;0.7;121268908;47.7;2365.206403;3665290;;;;;;;;;;;;;
2013;0.7;133521531;48.2;2493.148423;4179492;;;;;;;;;;;;;
2014;0.8;147429656;49.4;2680.135949;4751927;;;;;;;;;;;;;
2015;1;160725261;47.7;2883.495617;5297692;;;;;;;;;;;;;
2016;0.8;183403693;48.1;2975.024287;5863034;;;;;;;;;;;;;
2017;0.7;194649464;47.3;3134.466308;6300564;;;;;;;;;;;;;
2018;0.71;206487253;47.4;3457.230066;;;;;;;;;;;;;;
